#,Emoticon,Meaning,Votes
247,(¬‿¬),Cunning,200.0
248,|_|,Cup,400.0
249,~o),Cup of Coffee,200.0
250,8:-),Curly Hair,200.0
251,:-@!,Cursing,300.0
252,n_n,Cute,267.0
253,┌|°з°|┘,Cutting a rug,300.0
254,(╬☉Д⊙ฺ),Cyborg,300.0
255,๏-),Cyclops,167.0
256,:/7),Cyrano de Bergerac,433.0
257,<__*U (_____________)~  _/ _/ _/ _/,Dachshund,250.0
258,:)-S=,Dancer,300.0
259,♪┏(・o･)┛♪,Dancing,134.0
260,/ÖÖ\,Dark Vadorin,450.0
261,(｡▼皿▼),Darth Vader,180.0
262,Q:|,Davey Crockett,250.0
263,8->,Daydreaming,300.0
264,*_*,Dazed,250.0
265,[*_*],Dazzled,350.0
266,x_x,Dead,183.0
267,(=ｘェｘ=),Dead cat,250.0
268,༎ຶ‿༎ຶ,Dead Inside,225.0
269,✖‿✖,Dead person,200.0
270,(▀̿Ĺ̯▀̿ ̿),Deal with it,133.0
271,( °),Death Star,300.0
272,(✖╭╮✖),Deceased,217.0
273,~(O)|,Deep Sea Diver,300.0
274,3:*),Deer,300.0
275,(╯ნ_㇁ნ)╯,Defeated,250.0
276,:-| :-|,Deja Vu,300.0
277,^(#｀∀´)_Ψ,Demon,283.0
278,._.,Depressed,112.0
279,:-[,Despondent,350.0
280,i-),Detective,450.0
281,(ಥ﹏ಥ),Devastated,150.0
282,}:-),Devil,125.0
283,>:->,Diabolical,250.0
284,[]゛７(∀゜*）,Dialing,283.0
285,{>O,Diamond Ring,300.0
286,:-'),Dimple,420.0
287,"_..._ ( "" \> \ \> \ \> \ \>___ / \  | .... |>  \ / \ / || || C./ C./",Dinosaur,232.0
288,=|:-)X,Diplomat,250.0
289,:-|,Disappointed,200.0
290,ಠ_ಠ,Disapproval,134.0
291,（´Д゜）/゜⌒。,Discarding,320.0
292,（￣へ￣）,Discontent,300.0
293,( ͡° ʖ̯ ͡°),Disgruntled,180.0
294,:§,Disgusted,333.0
295,-__-,Disinterested,400.0
296,(*￣m￣),Dissatisfied,250.0
